"service","date","time","message"
"twitter",2021-08-21,10:59:00,"menang terpickaw dor handpick ovo rek kalo masuk ovo uang ku bagi teman teman teel kalo deh masuk rekening otomatis milik ku"
"youtube",2021-07-21,23:52:00,"like cinta nkri cinta ib 90 rakyat dukung penuh jokowi mundur"
"twitter",2021-08-21,23:03:00,"olafiannestra mon maaf salah server vice id vice jp"
"instagram",2021-07-07,10:32:00,"jual mangkok bubur ujung denda rp 5 juta tasikmalaya pr pepe nasi bubur alami endang tukang bubur ayam kota tasikmalaya mangkok bubur ayam vonis majelis hakim adil neger tasikmalaya denda rp 5 juta subsider kurung 5 vonis majelis hakim pimpin abdul gofur endang nilai langgar tentu pemberlakuan batas giat masyarakat ppkm darurat laku 3 20 juli 2021 sidang gelar virtual deoab eks kantor setda kabupaten tasikmalaya selasa 6 7 2021 vonis endang langsung lemas percaya hukumanyang terima layan beli mangkok hukum rp 5 juta katnaya kontributor pr asep endang jual bubur ayam 17 00 6 00 dagang jalan gunung sabeulah kota tasikmalaya puluh wajar endang langgan dapat jual ppkm darurat senin 5 7 2021 jual adik salwa 28 layan beli makan pemkot tasikmalaya umum ppkm darurat jual makan larang layan beli makan bungkus adik kasih beli ngeyel paksa makan paksa laden makan tugas patroli memberitahukan langgar layan beli ppkm percaya vonis terima endang patuh bayar denda penjara maling endang koranpikiranrakyat pikiranrakyat kabarnegri"
"instagram",2021-07-23,05:10:00,"selamat pagi boskuhh udahh bangun nih boskuhh boskuhh main situs online mauu cari menang mudah pasti aman proses cepat ayan ramah online 24 jam langsung boskuhh gabung bola singa boskuhh layan boskuhh 24 jam ya bos langsung hubung boskuhh wa 62 822 9755 2824 ig bolasingaofficial"
"youtube",2021-07-22,13:52:00,"pemerintah ya allah"
"twitter",2021-07-11,11:42:00,"bupati waykanan terbit pemberlakuan ppkm darurat"
"twitter",2021-07-16,10:43:00,"1trenggalek yoklo lor ppkm cegah sebar"
"twitter",2021-07-22,23:49:00,"ppkm panjang umur mu moga pendek"
"twitter",2021-08-16,22:05:00,"haechanbks del spillann nyata ppkm 23 benar loudly crying face thumbs up"
"twitter",2021-08-01,09:51:00,"dukung putus pemerintah panjang ppkm level 4 juang lawan pandemi"
"twitter",2021-08-08,17:12:00,"azzamizzulhaq tungtungdiky 1 34 orang 2 68 orang 3 102 orang 4 136 orang 5 170 orang 6 204 orang 7 238 orang 8 272 orang 9 306 orang 10 340 orang 11 374 orang 12 408 orang 31 1 054 orang"
