service,date,time,message,label
twitter,8/21/2021,10:59:00,Setiap aku menang GA...\nEntah terpickaw ato di dor ato handpick\nAku punya ovo dan rek\nKalo masuk di ovo berarti uang tersebut pasti ku bagikan lagi utk temen2 di teel \nMeskipun tdk banyak\nKalo dah masuk rekening...\nOtomatis jd milik ku\n\nDan...,1
youtube,7/21/2021,23:52:00,LIKE=CINTA NKRI=CINTA IB HRS=90% RAKYAT MENDUKUNG PENUH jokowi MUNDUR SEKARANG JUGA,4
twitter,8/21/2021,23:03:00,@olafiannestra mon maap salah server ini kan Vice ID bukan Vice JP <U+0001F923>,0
youtube,7/22/2021,13:52:00,Pemerintah sekarang ya Allah,1
twitter,7/16/2021,10:43:00,@1trenggalek Yoklo lor \nPPKM Cegah Penyebaran,5
twitter,7/22/2021,23:49:00,Ppkm di perpanjang\nUmur mu semoga di perpendek,4
twitter,8/16/2021,22:05:00,"@haechanbks del, spillann kamu kenyataan ppkm lanjut sampe 23 beneran <U+0001F62D><U+0001F44D>",2
twitter,8/1/2021,09:51:00,Dukung keputusan pemerintah memperpanjang PPKM level 4\nBerjuang Lawan Pandemi https://t.co/w9wKISaYnE,5
twitter,8/8/2021,17:12:00,@AzzamIzzulhaq @TungtungDiky 1 hari 34 orang\n2 hari 68 orang\n3 hari 102 orang\n4 hari 136 orang\n5 hari 170 orang\n6 hari 204 orang\n7 hari 238 orang\n8 hari 272 orang\n9 hari 306 orang\n10 hari 340 orang\n11 hari 374 orang\n12 hari 408 orang\n... \n...\n... \n31 hari 1.054 orang,0
twitter,10/3/2021,22:46:00,"Makin banyak yang mau Out anjirrr, Untung lagi PPKM kalo gak PPKM Angel tuh stadion. Ya KALO GAK HANGUS, ROBOH lurrr <U+0001F918> <U+0001F602><U+0001F602>",2
youtube,7/15/2021,14:09:00,Karena kita masih negara berkembang kita diberi syarat give and take,5
twitter,7/3/2021,13:50:00,menyambut ppkm (pengen peluk kamu melulu) dengan belajar bikin design beginian. https://t.co/mSZWVeiVXn,1
instagram,7/30/2021,12:31:00,"Aku min, selama PPKM tempat kerja ditutup, sama sekali gak digaji 7 hari lalu bapak meninggal, bener bener bingung:""') minta doanya ya semua supaya Allah lapangkan kubur bapak, dan ibu hamba. Amin @doa_muslimah",2
twitter,7/25/2021,19:58:00,Ppkm harus dihentikan dengan argumen kasian rakyat miskin gk bisa cari duit? Bukan karna kaum kaum lapak sebelah bosen dirumah?\n#PPKMDaruratBerdampakBaik,1
twitter,7/6/2021,06:01:00,Fakkk lagi PPKM bm empal gentong H Apud,4
instagram,8/4/2021,09:53:00,Sekarang teknik sipil sama arsitektur lebih fokus ke bangunan bawah tanah aja,1
instagram,7/11/2021,15:43:00,Nasib ...nasibb,4
twitter,7/3/2021,15:03:00,berkah ppkm bisa nyentuh ni barang lagi https://t.co/4M7Ak4WGNr,0
instagram,7/29/2021,12:09:00,Jgn di persulit kami mau balik ke riau anak2 dah masuk sekolah.. kami masih terjebak di kampung<U+0001F622><U+0001F62D>,4
twitter,7/5/2021,11:14:00,"@humaskedirires @PolsekKandat @BANGSAygSUJUD Sukseskan pelaksanaan PPKM Darurat, tetap patuhi prokes ya,,,\nDan jangan lupa dukung vaksinasi untuk keluar dari pandemi\nG\n#PPKMdanTetapVaksinasi\nSosialisasi Edukasi Masyarakat",3
instagram,7/18/2021,12:27:00,"Lahyo Jane Corona Diagep ora Ono ae,mlh rakyat cilek seng soro",2
twitter,7/12/2021,08:23:00,"@UyokBack Yg takut sama covid bukan masyarakat,tapi pemerintah. Gak percaya?? Turun ke lapangan, tanya warga lebih takut covid atau lebih takut tak ada penghasilan.<U+0001F60E><U+0001F60E>",4
twitter,10/9/2021,09:43:00,@Ompri_yant jiakhhh bisa ae,0
instagram,9/9/2021,18:44:00,Emng corona tuh ada ya? Wkkw,2
twitter,9/4/2021,21:51:00,oh indah sekali PPKM disini wakakakakakkk,2
twitter,8/3/2021,07:53:00,@KompasTV aku butuh proyek,2
